slug,name,batch,batch_year,status,team_size,yc_top_company,ai_relation,primary_theme,subtheme,vertical,is_agent,target_customer,one_liner,total_raised_usd_m,valuation_usd_m,outcome_details,label_confidence
axelrod,Axelrod,Summer 2026,2026,Active,2,0,ai_native,vertical_other,hospitality_restaurants,hospitality,1,smb,Boutique Hotels that run themselves,,,,0.85
axionorbital-space,AxionOrbital Space,Winter 2026,2026,Active,2,0,ai_native,defense_gov,space_earth_observation,defense,0,mixed_b2b,Foundation models for 24/7 Earth Observation,,,,0.75
axis-2,Axis,Winter 2026,2026,Active,2,0,ai_native,vertical_other,fintech_banking,fintech,0,enterprise,An AI Copilot for Trading Desks,,,,0.8
getbalance,Balance,Winter 2026,2026,Active,4,0,ai_native,finance_accounting,bookkeeping,,1,smb,Full-Stack AI Accounting,,,,0.95
baseframe,BaseFrame,Winter 2026,2026,Active,2,0,ai_native,workflow_automation,automation_discovery,,0,mixed_b2b,Detect what AI can automate for your team,,,,0.7
baud,Baud,Summer 2026,2026,Active,3,0,ai_infrastructure,hardware_semis,ai_chips_accelerators,,0,developers,AI chips for ultra-fast model training and inference,,,,0.95
beacon-health,Beacon Health,Winter 2026,2026,Active,2,0,ai_native,healthcare,healthcare_admin_automation,healthcare,1,smb,AI Employees for Primary Care,,,,0.9
beesafe-ai,BeeSafe AI,Winter 2026,2026,Active,3,0,ai_native,security,social_engineering_defense,,1,enterprise,Frontier AI Defenses for Social Engineering Attacks,,,,0.9
belvedir,Belvedir,Summer 2026,2026,Active,1,0,ai_infrastructure,model_infra,custom_model_training,,0,developers,The easiest way to make private AI models.,,,,0.9
bentolabs-ai,BentoLabs AI,Spring 2026,2026,Active,5,0,ai_infrastructure,agent_infra,agent_observability,,0,developers,Monitoring and learning layer for long-running agents,,,,0.95
bernard,Bernard,Summer 2026,2026,Active,9,0,ai_native,vertical_other,trades_home_services,trades,1,smb,AI employees that run home appliance repair companies,,,,0.9
bidflow,Bidflow,Winter 2026,2026,Active,2,0,ai_native,vertical_other,construction_engineering,construction,0,smb,AI Takeoffs for Electrical,,,,0.9
billow-ai-labs,Billow AI Labs,Summer 2026,2026,Active,0,0,ai_native,finance_accounting,bookkeeping,,1,mixed_b2b,AI-native Accounting Firm to Replace the Big-4,,,,0.9
biostack-platforms,BioStack Platforms,Spring 2026,2026,Active,4,0,ai_infrastructure,data_ml_ops,training_data_environments,healthcare,0,enterprise,Real world training envs for healthcare AI models,,,,0.85
bizmark,Bizmark,Summer 2026,2026,Active,2,0,ai_native,vertical_other,supply_chain_manufacturing,manufacturing,1,smb,"The OS for companies that make, move, or sell physical goods",,,,0.75
trybloom,Bloom,Spring 2026,2026,Active,3,0,ai_infrastructure,creative_media,brand_asset_generation,,0,mixed_b2b,The brand layer for agents.,,,,0.7
bloomy,Bloomy,Summer 2026,2026,Active,1,0,ai_native,vertical_other,education,education,0,other,AI-powered mastery learning for K-12,,,,0.85
booko,Booko,Winter 2026,2026,Active,2,0,ai_enabled,sales_marketing,dynamic_pricing,,0,smb,Dynamically pricing the whole economy. ,,,,0.7
brumby,Brumby (Formerly GrazeMate),Winter 2026,2026,Active,3,0,ai_native,robotics,drones,agriculture,1,smb,Robot Cowboys that Herd Cattle with AI Drones,,,,0.9
bubble-lab,Bubble Lab,Winter 2026,2026,Active,2,0,ai_enabled,vertical_other,other_industry,other,0,smb,Operating system for premium professional communities,,,,0.6
buildbox,Buildbox,Summer 2026,2026,Active,2,0,ai_infrastructure,data_ml_ops,evals_llm_observability,,0,mixed_b2b,Understand how users experience your AI agents,,,,0.8
burt,Burt,Winter 2026,2026,Active,2,0,ai_native,vertical_other,logistics_freight,logistics,1,smb,AI teammates for logistics,,,,0.9
button-computer,Button Computer,Winter 2026,2026,Active,1,0,ai_enabled,hardware_semis,edge_ai_devices_wearables,,0,consumer,The tiny computer built for voice AI.,,,,0.8
ai-coach,COACH,Summer 2026,2026,Active,4,0,ai_native,sales_marketing,sales_coaching,,0,mixed_b2b,The AI Coach for in person sales reps.,,,,0.9
cajal-technologies,Cajal,Winter 2026,2026,Active,2,0,ai_native,bio_science,ai_mathematician_formal_verification,science_biotech,1,mixed_b2b,Scaling formal verification to accelerate scientific discovery,,,,0.75
callab-ai,Callab AI,Spring 2026,2026,Active,7,0,ai_native,voice_ai,contact_center_voice,,1,enterprise,AI voice agents for on-prem telephony stack. ,,,,0.95
callbook-ai,Callbook AI,Summer 2026,2026,Active,7,0,ai_native,finance_accounting,debt_collection,fintech,1,mixed_b2b,AI collections agency for late stage portfolios,,,,0.85
canary,Canary,Winter 2026,2026,Active,2,0,ai_native,coding_devtools,ai_testing_qa,,1,developers,The first AI QA engineer that understands your code,,,,0.95
captain,Captain,Winter 2026,2026,Active,2,0,ai_infrastructure,data_ml_ops,rag_retrieval_infra,,0,developers,"Accurate, high-performance retrieval for AI agents",,,,0.9
carsignal,CarSignal,Summer 2026,2026,Active,2,0,ai_native,vertical_other,automotive_dealers,automotive,1,smb,The Smart Operating System for Auto Shops.,,,,0.85
cardboard,Cardboard,Winter 2026,2026,Active,5,0,ai_native,creative_media,video_editing,media,1,mixed_b2b,Agentic video editor,,,,0.9
trycardinal-ai,Cardinal,Winter 2026,2026,Active,0,0,ai_native,sales_marketing,sdr_outbound_agents,,1,mixed_b2b,Revenue Agents for GTM teams,,,,0.9
care-gp,Care GP,Summer 2026,2026,Active,10,0,ai_native,healthcare,healthcare_admin_ops,healthcare,1,smb,AI agents to run primary healthcare operations,,,,0.85
caretta,Caretta,Winter 2026,2026,Active,4,0,ai_native,sales_marketing,sales_copilot,,0,mixed_b2b,Realtime AI for Sales Calls,,,,0.9
carrot-labs,Carrot Labs,Winter 2026,2026,Active,2,0,ai_infrastructure,data_ml_ops,ai_cost_observability,,0,mixed_b2b,AI Cost Management: Track and attribute AI spend across every provider,,,,0.75
cascade,Cascade,Winter 2026,2026,Active,2,0,ai_infrastructure,model_infra,fine_tuning_distillation,,0,enterprise,Distilling Proprietary Intelligence,,,,0.7
celltype,CellType,Winter 2026,2026,Active,2,0,ai_native,bio_science,drug_discovery,science_biotech,1,enterprise,The agentic drug company. We simulate human biology.,,,,0.95
centralcoms,CentralComs,Spring 2026,2026,Active,2,0,ai_native,vertical_other,trades_home_services,trades,1,smb,AI agent platform for home services companies.,,,,0.9
cerenovus,Cerenovus,Summer 2026,2026,Active,5,0,ai_native,workflow_automation,ops_intelligence,,0,enterprise,AI that finds value creation opportunities across enterprise…,,,,0.7
chamber,Chamber,Winter 2026,2026,Active,4,0,ai_infrastructure,model_infra,ml_infra_ops_automation,,1,mixed_b2b,The AIOps Agent for ML Teams,,,,0.75
characterquilt,CharacterQuilt,Spring 2026,2026,Active,4,0,ai_native,sales_marketing,marketing_ops_agents,,1,enterprise,Computer use agents to deploy enterprise marketing campaigns,,,,0.9
chasi,Chasi,Winter 2026,2026,Active,2,0,ai_native,vertical_other,other_industry,manufacturing,1,smb,AI Revenue Engine for the Equipment Industry ,,,,0.8
chert,Chert,Spring 2026,2026,Active,2,0,ai_enabled,customer_support,imessage_messaging_infra,,0,mixed_b2b,iMessage infrastructure for business,,,,0.55
chromie,Chromie,Summer 2026,2026,Active,2,0,ai_native,defense_gov,govtech,government,0,mixed_b2b,"find, qualify, & win contracts with AI",,,,0.75
chronicle-labs,Chronicle Labs,Spring 2026,2026,Active,2,0,ai_infrastructure,agent_infra,agent_testing_sandboxes,,0,enterprise,Staging Environments for Enterprise AI Agents,,,,0.85
cignara,Cignara,Spring 2026,2026,Active,4,0,ai_native,customer_support,enterprise_support_agents,,1,enterprise,AI Customer Support for Fortune 500-scale enterprises,,,,0.85
claimglide,ClaimGlide,Winter 2026,2026,Active,1,0,ai_native,healthcare,prior_auth,healthcare,1,smb,AI automated prior-auths for private medical practices,,,,0.9
clara-2,Clara,Spring 2026,2026,Active,9,0,ai_native,healthcare,ai_primary_care,healthcare,1,consumer,AI primary care doctor,,,,0.9
clawvisor,Clawvisor,Spring 2026,2026,Active,1,0,ai_infrastructure,agent_infra,agent_identity_auth,,0,developers,The Authorization Layer for AI Agents,,,,0.9
click,Click,Summer 2026,2026,Active,1,0,ai_infrastructure,search_knowledge,web_search_api_for_ai,,0,mixed_b2b,Research services for ChatGPT and Claude,,,,0.75
coarena,CoArena,Summer 2026,2026,Active,2,0,ai_infrastructure,data_ml_ops,evals,,0,mixed_b2b,The biggest crowdsourced benchmark for Computer-Use,,,,0.8
codag,Codag,Summer 2026,2026,Active,1,0,ai_infrastructure,agent_infra,agent_observability,,0,developers,Log compression for agents.,,,,0.6
codewisp,CodeWisp,Winter 2026,2026,Active,3,0,ai_native,creative_media,game_creation,media,0,consumer,Anyone can create real games with AI,,,,0.8
cofia,Cofia,Winter 2026,2026,Active,3,0,ai_native,workflow_automation,self_implementing_automation,,1,mixed_b2b,AI automations that implement themselves,,,,0.8
cohesion,Cohesion,Spring 2026,2026,Active,3,0,ai_native,vertical_other,fintech_banking,fintech,1,enterprise,Agents that automate research for institutional investors,,,,0.85
collar,Collar,Fall 2026,2026,Active,2,0,ai_native,vertical_other,fintech_banking,fintech,1,enterprise,AI for General Partners,,,,0.8
complir,Complir,Spring 2026,2026,Active,13,0,ai_native,legal_compliance,grc_regulatory_compliance,retail,1,mixed_b2b,Vanta for physical products,,,,0.85
compresr,Compresr,Winter 2026,2026,Active,4,0,ai_infrastructure,data_ml_ops,context_compression,,0,developers,LLM context compression for better accuracy,,,,0.8
computable,Computable,Summer 2026,2026,Active,2,0,ai_infrastructure,model_infra,gpu_compute_marketplace,fintech,0,mixed_b2b,"Buy, sell, and redeem GPU hours for any week with instant liquidity",,,,0.6
condor-energy,Condor Energy,Winter 2026,2026,Active,3,0,ai_enabled,vertical_other,energy_climate,energy,0,enterprise,Software for enterprise energy procurement.,,,,0.8
confluence-labs,Confluence Labs,Winter 2026,2026,Active,2,0,ai_native,bio_science,ai_scientist_experiment_design,science_biotech,0,enterprise,AI models that learn from experience,,,,0.7
congruent,Congruent,Winter 2026,2026,Active,2,0,ai_native,robotics,autonomous_vehicles,automotive,0,enterprise,AI native radars for self-driving cars,,,,0.85
conifer,Conifer,Summer 2026,2026,Active,3,0,ai_infrastructure,model_infra,model_routing,,0,mixed_b2b,Local-first least cost routing system to reduce 80%+ token spend,,,,0.85
constellation-space,Constellation Space,Winter 2026,2026,Active,4,0,ai_enabled,defense_gov,space_aerospace,other,0,enterprise,AI operating system for mega-scale satellite networks. ,,,,0.65
contextdev,Context.dev,Summer 2026,2026,Active,1,0,ai_infrastructure,data_ml_ops,web_data_for_ai,,0,developers,We give AI agents realtime web context.,,,,0.85
control-seat,Control Seat,Summer 2026,2026,Active,2,0,ai_enabled,vertical_other,supply_chain_manufacturing,manufacturing,0,enterprise,Predictive maintenance on your plant data and sensors.,,,,0.75
copperlane,Copperlane,Winter 2026,2026,Active,2,0,ai_native,vertical_other,fintech_banking,fintech,1,enterprise,Agentic Mortgage Origination,,,,0.85
corelayer,Corelayer,Winter 2026,2026,Active,3,0,ai_native,coding_devtools,sre_production_support_agent,fintech,1,enterprise,AI production engineer for regulated industries,,,,0.85
corvera,Corvera,Winter 2026,2026,Active,4,0,ai_infrastructure,data_ml_ops,data_context_layer_mcp,retail,0,smb,The context layer for AI-native CPG brands,,,,0.75
cosmic-robotics,Cosmic Robotics,Summer 2026,2026,Active,8,0,ai_native,robotics,construction_robots,construction,0,enterprise,Autonomous construction on Earth and beyond,,,,0.9
cova,Cova,Summer 2026,2026,Active,2,0,ai_native,healthcare,home_care_agency,healthcare,1,consumer,AI-Native Home Care Agency,,,,0.8
covera,Covera,Fall 2026,2026,Active,2,0,ai_native,vertical_other,insurance,insurance,1,smb,AI-native OS for insurance brokers,,,,0.9
crosslayer-labs,Crosslayer Labs,Winter 2026,2026,Active,3,0,ai_enabled,security,impersonation_detection,,0,enterprise,"Protect, monitor and defend your Internet presence",,,,0.7
cumulus-labs,Cumulus Labs,Winter 2026,2026,Active,2,0,ai_infrastructure,model_infra,inference_platform,,0,enterprise,The Fastest Multimodal Inference OS,,,,0.9
daqstra,Daqstra,Summer 2026,2026,Active,3,0,ai_enabled,vertical_other,construction_engineering,manufacturing,0,mixed_b2b,AI-native test infrastructure to accelerate hardware companies.,,,,0.6
datoric,Datoric,Summer 2026,2026,Active,2,0,ai_infrastructure,data_ml_ops,data_labeling_collection,,0,enterprise,Secure training data shaped by experimentation,,,,0.9
dawn-industries,Dawn Industries,Summer 2026,2026,Active,2,0,ai_native,vertical_other,supply_chain_manufacturing,manufacturing,1,enterprise,Automatic Diagnosis & Fix for Industrial Automation Cells,,,,0.8
dayjob,Dayjob,Spring 2026,2026,Active,5,0,ai_native,vertical_other,logistics_freight,logistics,1,smb,AI Scheduling for Short Haul Trucks,,,,0.85
decawork,Decawork,Summer 2026,2026,Active,2,0,ai_infrastructure,agent_infra,agent_governance_deployment,,0,enterprise,The Agent Control Plane for IT teams,,,,0.9
deep-interactions,Deep Interactions,Spring 2026,2026,Active,4,0,ai_native,coding_devtools,prompt_to_app_builders,,0,mixed_b2b,Collaborative AI app builder for teams,,,,0.8
deepreach-inc,DeepReach Inc.,Summer 2026,2026,Active,6,0,ai_infrastructure,data_ml_ops,robotics_training_data,,0,mixed_b2b,Real-world data network for robots & world models,,,,0.85
definite,Definite,Summer 2026,2026,Active,3,0,ai_native,finance_accounting,fpa_cfo_tools,fintech,1,mixed_b2b,Build everyday back-office agents on one live model of your books,,,,0.8
degla-inc,Degla Inc,Fall 2026,2026,Active,2,0,ai_native,robotics,drones,,1,mixed_b2b,The fully autonomous intelligence layer in the sky.,,,,0.85
denta,Denta,Summer 2026,2026,Active,1,0,ai_enabled,vertical_other,insurance,insurance,0,smb,Dental Insurance,,,,0.8
derya,Derya,Summer 2026,2026,Active,2,0,ai_native,vertical_other,supply_chain_manufacturing,logistics,1,mixed_b2b,Agentic Supply Chain Automations,,,,0.8
dialogus,Dialogus,Summer 2026,2026,Active,3,0,ai_native,voice_ai,voice_agent_platform,,1,enterprise,Infra for enterprise voice agents.,,,,0.9
didit,Didit,Winter 2026,2026,Active,16,0,ai_enabled,security,fraud_identity,,0,developers,Infrastructure for identity and fraud.,,,,0.8
dipole-labs,Dipole Labs,Summer 2026,2026,Active,0,0,ai_infrastructure,hardware_semis,photonics_networking,,0,enterprise,AI-controlled optical switching for AI clusters,,,,0.75
discovered-materials,Discovered Materials,Spring 2026,2026,Active,2,0,ai_native,bio_science,materials_chemistry,manufacturing,1,enterprise,AI scientists to discover materials for the semiconductor industry.,,,,0.9
ditto-biosciences,Ditto Biosciences,Winter 2026,2026,Active,3,0,ai_native,bio_science,drug_discovery,science_biotech,0,enterprise,Evolutionary intelligence for autoimmune disease,,,,0.9
dock,Dock,Summer 2026,2026,Active,2,0,ai_native,workflow_automation,ai_employees,,1,smb,Multiplayer agent workspace to run your company ,,,,0.8
docura-health,Docura Health,Winter 2026,2026,Active,3,0,ai_native,legal_compliance,med_legal_records_review,legal,1,enterprise,AI-Native Med-Legal Firm,,,,0.75
donkey,Donkey,Summer 2026,2026,Active,7,0,ai_enabled,vertical_other,supply_chain_manufacturing,logistics,0,mixed_b2b,The AI-native trading company: China factory-direct for US importers,,,,0.7
doomersion,Doomersion,Winter 2026,2026,Active,4,0,ai_native,consumer,language_learning,education,0,consumer,Doomscroll to learn languages,,,,0.7
drafted,Drafted,Spring 2026,2026,Active,9,0,ai_native,vertical_other,real_estate_proptech,real_estate,0,consumer,Design your home instantly with AI,,,,0.7
dreach,Dreach,Spring 2026,2026,Active,2,0,ai_native,sales_marketing,sdr_outbound_agents,,1,smb,stop building lists. start booking clients.,,,,0.85
dream,Dream,Summer 2026,2026,Active,2,0,ai_native,hardware_semis,edge_ai_devices,automotive,0,mixed_b2b,Pocket-sized AI cameras that catch asset damage.,,,,0.7
ed1th,ED1TH,Spring 2026,2026,Active,1,0,ai_native,consumer,ai_wearable_assistant,,0,consumer,Jarvis IRL,,,,0.85
earendil-robotics,Earendil Robotics,Summer 2026,2026,Active,7,0,ai_enabled,defense_gov,defense_autonomy,defense,0,government,Drone swarm defence at a small-unit level,,,,0.8
eden-robotics,Eden Robotics,Spring 2026,2026,Active,4,0,ai_native,robotics,humanoids,manufacturing,1,enterprise,Autonomous services for humanity.,,,,0.85
