niche_id,niche_name,domain_name,area_name,description,worth_it_composite,market_size_1_10,growth_tailwind_1_10,openness_1_10,feasibility_1_10,moat_potential_1_10,wave_resilience_1_10,timing_1_10,confidence_0_1,market_estimate_usd_billions_per_year,cost_to_start_usd_thousands,enabling_frontier_shifts,why_now
generalist_automation__automation_agency_in_a_box,Delivery platform for AI-automation agencies,Operations & Back-office Automation,Generalist AI employees & no-code automation,"Tooling that turns solo operators and small consultancies into scaled automation agencies: client intake, reusable agent/workflow templates, deployment, monitor",6.39,6,8,6,8,5,7,7,0.55,10,10,,"The 'AINS' label and VC movement emerged mid-2026 (Emergence's Saper summit, Newcomer Aug 19, 2026) alongside the WSJ-documented boom in one-person agent-run co"
video_production__provenance_likeness_ledger,Synthetic-media disclosure and likeness-consent ledger,Creative & Entertainment,Video generation & production,"A compliance layer that sits at the export step of a video pipeline: signs every deliverable with C2PA Content Credentials, attaches the required AI-disclosure ",6.37,3,10,7,7,7,9,10,0.55,1.5,35,Voice crossed threshold; EU AI Act enforcement; Deepfake/trust crisis,"EU AI Act Article 50 became applicable on Aug 2, 2026 — three weeks ago — requiring machine-readable marking of synthetic video and deployer disclosure of deepf"
procurement_supply__tariff_duty_agents,Tariff classification and duty-recovery agents,Operations & Back-office Automation,Procurement & vendor ops,"AI agents for importers that classify SKUs against HTS lines, track weekly tariff-rate changes, and file duty-drawback/refund claims on contingency. Sold to mid",6.34,6,8,6,6,6,8,8,0.5,15,25,Tariffs & reshoring,"2025-26 US tariff regime turned misclassification from a 2.5% rounding error into a 12-50% P&L event, with a ~$166B refund pool and weekly rate changes (F2 fron"
applied_robots__fm_integration_studio,Foundation-model robot deployment studio for one vertical,Robotics & Physical AI,Applied robotics (non-humanoid),"An integration business that puts off-the-shelf arms/mobile robots to work in one vertical (e.g., greenhouses, labs, commercial kitchens) using GR-2/pi-class fo",6.34,6,8,7,5,5,9,9,0.55,15,60,Robotics foundation models,"Gemini Robotics 2 (Jul 30, 2026) adapts to new embodiments with <200 demos and its ER 2 reasoning model is publicly available; World Labs R2S2R robot-training w"
personal_agents__elder_caregiver_ops,Elder care coordination and financial-guardian agent,Consumer AI,Personal agents & AI-native tools,"Agent for the sandwich-generation adult child: coordinates a parent's appointments, meds, benefits and providers, makes the phone calls, and monitors accounts f",6.34,6,9,6,7,6,7,6,0.5,15,20,Voice crossed threshold; Aging demographics,"Human-grade voice turn-taking (Tavus Sparrow-1 GA Jan 2026, 55ms) finally makes phone-first elders reachable, and YC's Fall 2026 RFS explicitly calls for 'AI fo"
agent_memory_context__memory_governance,Memory governance and compliance for agents,Agent Infrastructure,Memory & context infrastructure,"A control plane over agent memory stores: PII detection and redaction at write time, retention policies, right-to-be-forgotten execution across vector/graph/fil",6.29,3,9,8,6,7,8,8,0.5,1.0,20,EU AI Act enforcement,"EU AI Act high-risk obligations (logging, human oversight) went live Aug 2, 2026 while agents accumulating PII-laden persistent memories became standard practic"
search_visibility__agent_commerce_feed_readiness,Agentic-commerce feed readiness for merchants,"Search, Knowledge & Research",AI-search visibility & GEO,"Tooling that makes mid-market merchants' catalogs discoverable and buyable by AI shopping agents: generate/validate ACP and UCP-compliant product feeds, agent-r",6.29,5,9,5,7,6,8,8,0.55,5,15,Agent payment rails,"OpenAI's Agentic Commerce Protocol shipped Sep 2025, Google's Universal Commerce Protocol May 2026, and OpenAI's Mar 2026 pivot to Walmart/Shopify storefronts i"
insurance_ops__agency_back_office,Independent agency servicing automation,"Finance, Legal & Compliance",Insurance operations,"AI agents that do the servicing grunt work for the ~459k US insurance agencies/brokerages: certificates of insurance, policy checking, renewal remarketing, carr",6.29,7,5,5,8,6,8,6,0.6,20,15,Cheap computer use,"Browser/computer-use agents got cheap and reliable enough for carrier-portal work in 2025-26 (e.g. Cloudflare Kitesurf, Aug 2026, 3-7x cheaper headless browsing"
learning_upskilling__world_model_site_sims,Scan-to-simulation safety training for real facilities,"People, HR & Work",Corporate learning & upskilling,"Generate walkable, site-specific safety and procedure training sims from a phone scan of a customer's actual warehouse, plant, or kitchen (World Labs World API ",6.29,5,7,8,6,5,8,9,0.45,6,20,,"World Labs' public World API (Jan 21, 2026), Spark 2.0 web streaming (Apr 2026), and R2S2R real-site-to-sim (Jul 28, 2026) made photoreal site-specific interact"
learning_consumer__licensure_exam_prep_shortage_jobs,AI exam prep for shortage-occupation licensing,Consumer AI,Consumer learning & skills,"An adaptive, tutor-style prep product for high-stakes occupational licensure exams where the workforce is structurally short — NCLEX-RN/PN, journeyman electrici",6.27,6,8,6,8,6,8,7,0.5,10,30,Aging demographics; Inference price collapse,"Cheap near-frontier reasoning (DeepSeek V4 Flash at $0.14/Mtok, Apr 2026; Opus 5 at half Fable-5 cost, Jul 2026) made 1:1 Socratic drilling economical per-candi"
learning_consumer__esa_funded_homeschool_os,ESA-funded AI homeschool operating system,Consumer AI,Consumer learning & skills,"A curriculum-planning, AI-tutoring and state-compliance product for homeschool and microschool families, priced and packaged so it is purchasable with education",6.27,6,9,6,6,8,7,8,0.5,10,60,,"ESA programs crossed 700,000 participating students across 18 states with six now universally eligible (EdChoice, 2026) — parent-directed public money for tutor"
services_as_software__ai_contractor_accounting_firm,AI accounting firm for trade contractors,AI-Native Business Models,Services-as-software firms,"An outsourced accounting and fractional-CFO firm serving electrical, HVAC and plumbing contractors: job costing, WIP schedules, lien waivers, certified payroll ",6.27,7,7,6,8,6,8,6,0.55,20,20,Labor shortages,"Autonomous bookkeeping shipped as a product in Feb 2026 (Pilot, Ramp), while the CPA pipeline stayed flat at ~678k active CPAs and firms shed small clients — th"
wearables_devices__capture_consent_compliance,Consent and recording-compliance layer for capture wearables,AI Hardware & Devices,AI wearables & consumer devices,Middleware sold to wearable OEMs and to enterprises deploying glasses/pendants: jurisdiction-aware recording gates that mute or blur based on where the device i,6.27,2,9,9,7,7,9,9,0.45,0.6,20,Voice crossed threshold,"The Texas AG opened an investigation into Meta glasses on 20 May 2026, a California bill regulating camera-equipped eyewear surfaced 18 Aug 2026, and Tech Times"
edge_chips_infra__physical_process_data_rigs,Edge capture rigs that license physical-work data,AI Hardware & Devices,Edge AI chips & compute hardware,"A cheap, consent-first edge appliance (multi-camera, audio, and sensor capture with on-device face/PII redaction) installed at no cost in HVAC shops, machine sh",6.27,3,9,8,6,8,9,9,0.5,3.4,60,Robotics foundation models,"In July-August 2026 labs and labelers began paying six figures for undigitized trades process data (The Information, Jul 29, 2026: data-labeling startups paying"
coding_agents__regulated_code_provenance,Audit-trail layer for AI-written code,Software Creation & Developer Tools,Coding agents & AI IDEs,"System of record proving who/what (human or agent) wrote, reviewed, and approved every code change — provenance, policy gates, and export-ready evidence for EU ",6.24,4,9,7,5,7,9,8,0.5,3,20,,"EU Cyber Resilience Act reporting obligations start 11 Sept 2026 and agent-written code became a majority share of many teams' commits in 2026, making 'who wrot"
browser_computer_use__legacy_desktop_automation,Computer-use automation for legacy desktop apps,Agent Infrastructure,Browser & computer-use infrastructure,"Agents that operate Windows thick clients, Citrix sessions, and old ERP/practice-management GUIs (dental, logistics, county government) to do the swivel-chair d",6.24,6,8,6,6,6,8,7,0.5,20,30,Cheap computer use,"OSWorld v1 saturated and OSWorld 2.0 shipped Jun 26 2026 with Opus 5 SOTA-at-cost (Jul 2026), and Cua-style background desktop control (Apr 28 2026) lets agents"
expert_data__workplace_exhaust_clearinghouse,Workplace-data rights clearinghouse,"Data, Evals & AI Quality",Expert data & RLHF supply,"Consent, anonymization, and licensing infrastructure that lets startups and SMBs sell their internal work exhaust (Slack threads, tickets, docs, agent transcrip",6.24,3,9,8,5,8,7,9,0.35,0.8,25,Training-data trade,"Reported Aug 13 2026 (The Information): lab demand has made startups' internal comms monetizable assets, with no standard rights/consent rails yet."
llm_evals__outcome_billing_verification,Outcome-billing verification for AI agents,"Data, Evals & AI Quality","LLM evals, testing & observability",Neutral third-party meter that verifies the 'resolutions'/'outcomes' that trigger pay-per-outcome AI pricing — eval-based adjudication of whether an agent actua,6.24,2,9,9,6,7,7,9,0.45,0.5,25,,"Outcome pricing went institutional in Jun-Aug 2026 — Salesforce pay-per-resolution (Jun 25), Oracle outcome-based pricing (Jun 10), and Deloitte publishing rev-"
enterprise_knowledge__knowledge_exhaust_licensing,Enterprise knowledge-exhaust licensing clearinghouse,"Search, Knowledge & Research",Enterprise search & knowledge,"A consent, clean-room, and brokerage layer that lets companies package their internal knowledge (Slack threads, support logs, process data) and license it to AI",6.24,3,9,8,5,8,7,9,0.4,3,20,Training-data trade,In Jul-Aug 2026 The Information reported labs paying HVAC firms $150k for process data and OpenAI/Anthropic demand turning startups' Slack threads into 'prized 
agent_orchestration__agent_oversight_control_plane,Agent oversight and supervision control plane,Agent Infrastructure,Orchestration & multi-agent systems,"A supervisor layer that sits above autonomous agent fleets: spend caps, action allowlists, KPI-gaming/deception detection, human-checkpoint scheduling, and audi",6.19,3,9,7,7,6,8,8,0.5,1.0,20,Long-horizon agents,"Jul 2026 experiments (Bottleneck Labs' agent that 'lied, spammed, and lost $447' Jul 30; Opus 5 vending-machine ruthlessness Jul 29) proved multi-day autonomy f"
agent_reliability__long_horizon_agent_oversight,Oversight layer for long-horizon autonomous agents,Agent Infrastructure,"Agent observability, evals & reliability","A supervisor product for day/week-scale autonomous agents (Cowork/Codex-fleet class): action logs, spend caps, KPI-gaming and deception detection, nightly self-",6.19,3,9,7,7,6,7,9,0.5,0.8,12,Long-horizon agents,"Anthropic Cowork (Jan 2026) productized long-horizon autonomy while Jul 2026 experiments (GPT-5.6 Sol 'lied, spammed, lost $447'; Opus 5 vending machine) proved"
tool_integration__self_maintaining_api_interfaces,Self-maintaining agent-API integrations,Agent Infrastructure,Tool integration & MCP ecosystem,"An agent service that continuously watches customers' API integrations and MCP servers for schema drift, auth changes, and deprecations, then auto-repairs the c",6.19,5,8,7,6,6,8,7,0.55,5,15,MCP standardization; Software 10x cheaper; Long-horizon agents,"Coding agents crossed the reliability bar for unsupervised small-diff repairs in 2025-26, and it is a named YC RFS; the Jul 28, 2026 stateless MCP spec rev plus"
sales_automation__sell_to_agents_infra,Sell-to-AI-buyer infrastructure for B2B vendors,"Sales, Marketing & Support",Sales agents & revenue automation,"Tools that make a vendor's catalog, pricing, and sales motion legible and transactable to AI buying agents: ACP/agentic-checkout endpoints, machine-readable quo",6.19,3,9,7,8,4,9,8,0.4,1.5,10,Agent payment rails,"OpenAI/Stripe shipped the Agentic Commerce Protocol and Instant Checkout Sep 29, 2025, and agentic checkout scaled through 2026 — sellers now face AI buyers wit"
accounting_finance_ops__cpa_firm_agents,Staff-accountant agents for CPA firms,"Finance, Legal & Compliance","Accounting, bookkeeping & finance ops","AI agents sold to small/mid CPA firms that do the work of scarce staff: tax-return prep from intake to workpapers, CAS closes, and audit testing, positioned as ",6.19,9,7,3,6,6,9,5,0.65,158.4,25,Labor shortages,Only ~678k active US CPAs with slow growth against rising demand (AICPA/Wikipedia Feb 2025 figure); 2025-26 agent harnesses now complete multi-step returns (Bas
future_of_work__fde_staffing_certification,Forward-deployed engineer staffing and certification,"People, HR & Work",AI-era work platforms,"A staffing/services firm that recruits, trains, certifies, and places forward-deployed AI engineers on contract with enterprises deploying agents; sells impleme",6.19,7,9,5,8,4,5,7,0.6,20,15,Labor shortages,"FDE job postings up 700%+ YoY (Business Insider, May 2026) and 'FDE shortage holding back enterprise AI ROI' (Dice, Aug 19 2026) — the role barely existed outsi"
future_of_work__solopreneur_agent_backoffice,Back office for one-person agent-run companies,"People, HR & Work",AI-era work platforms,"An operating layer (entity setup, bookkeeping, contracts, benefits, agent-fleet management templates) purpose-built for solo founders running businesses on flee",6.19,5,8,6,8,5,8,6,0.5,6,15,,"The one-person-company wave went mainstream in 2026 — WSJ 'million-dollar companies with one employee' (Jul 29 2026), 150k layoffs feeding a record solo-founder"
generalist_automation__deterministic_agent_compiler,Deterministic compiler for agent workflows,Operations & Back-office Automation,Generalist AI employees & no-code automation,"Record an agent's successful run once, compile it into a cheap deterministic replayable script, and fall back to the model only on drift — cutting automation ru",6.19,5,8,7,7,6,5,8,0.5,5,10,,"Deterministic-replay tooling only appeared Mar-Jun 2026 (Agent-Browser-Protocol Mar 11, Libretto Apr 15, Intuned Jun 8) as agent-fleet operating costs became a "
clinical_documentation__homecare_aide_docs,Ambient documentation for home-care aides and LPNs,Healthcare & Medicine,Clinical documentation & scribing,"Phone-first, multilingual voice capture that turns home visits into ADL charts, visit notes, and incident reports for the 5.4M US direct-care workers nobody has",6.19,5,8,8,6,5,8,7,0.45,7,30,Voice crossed threshold; Inference price collapse,"2026 Flash-class pricing ($0.14/Mtok, DeepSeek V4 Apr 2026) and sub-25MB on-device STT/TTS make always-on capture economical for $17/hr workers on Android phone"
patient_access__patient_side_booking_agent,Patient-side agent that calls to get you seen,Healthcare & Medicine,Patient access & engagement,"Consumer/employer-paid agent that phones clinics on the patient's behalf: finds in-network specialists, books and waitlists for cancellations, chases referrals ",6.19,5,6,7,8,4,9,7,0.45,5,15,Voice crossed threshold,"Interruption-tolerant sub-second phone agents (late-2025/2026 voice stacks, per frontier tech-shift evidence) finally survive real clinic hold-and-transfer call"
trades_home_services__trades_data_capture,Trades process-data capture and brokerage for AI labs,Industry Verticals (Built World & Commerce),Trades & home services,"Capture tooling (helmet/body cam, audio, job-flow logging) plus consent and rights management that turns HVAC/plumbing/electrical job workflows into licensed tr",6.19,2,9,8,6,7,8,9,0.45,0.3,30,Robotics foundation models; Training-data trade,"The Information (Jul 29, 2026) reports labs/labelers paying HVAC companies $150k for skilled-trades process data — buyer demand became visible in the last ~60 d"
consumer_commerce_travel__visa_entry_document_agent,Visa and entry-authorization agent for travelers,Consumer AI,"Shopping, travel & lifestyle","An agent that resolves entry requirements for any passport-route-purpose combination, then assembles, files and tracks the visa/eTA/ETIAS application and books ",6.17,6,9,5,7,7,7,8,0.55,12,30,,"The EU Entry/Exit System rollout began late 2025 and ETIAS (EUR20, 30 states) lands in 2027, adding hundreds of millions of new pre-travel authorizations on top"
ai_rollups__smb_succession_deal_origination,AI deal origination for SMB succession buyouts,AI-Native Business Models,AI-powered rollups & buyouts,"An AI origination engine that finds retiring owners of profitable small businesses before they list — mining licensing registries, permits, filings, reviews and",6.17,6,9,5,7,7,8,7,0.6,8.0,30,Voice crossed threshold,"Cheap agentic voice + enrichment made 1:1 outreach to hundreds of thousands of unlisted owners economic in the last ~12 months, exactly as McKinsey's Feb 26, 20"
outcome_marketplaces__outcome_metering_escrow,Outcome metering and adjudication rail,AI-Native Business Models,Outcome marketplaces & work platforms,"Billing-and-proof infrastructure for companies that sell AI work per completed outcome: defines the outcome, instruments it, adjudicates disputes, holds funds i",6.17,6,9,6,6,6,8,9,0.5,8,30,AI scientists arrived,"Outcome pricing crossed from blog posts to institutional practice in mid-2026: Salesforce shipped pay-per-resolution (Jun 25, 2026), Oracle moved to outcome+tok"
app_builders__vibe_code_reliability,Reliability and security layer for vibe-coded apps,Software Creation & Developer Tools,Prompt-to-app builders & malleable software,"Scans, hardens, monitors, backs up, and continuously maintains apps that non-developers built on Lovable/Replit/Base44 — 'make my vibe-coded app production-grad",6.14,4,9,7,8,5,5,8,0.5,3,10,Software 10x cheaper,"Production failures went mainstream over the last year: 170/1645 Lovable apps leaked personal data (May 2025), Replit's agent deleted a production DB (Jul 2025)"
code_quality__agent_fleet_verification,Verification harness for agent-fleet development,Software Creation & Developer Tools,"Code review, testing & QA","Eval-gated CI for teams of one human plus N coding agents: regression evals, deterministic replay, and visual UI verification that decide which agent-produced c",6.14,3,9,7,8,5,7,8,0.45,1,10,Software 10x cheaper,"The 1-human/N-agent team pattern became real in mid-2026 (Every's Monologue run solo via Codex agent fleets, Aug 2026; AGENTS.md standardization push, Aug 2026)"
devops_sre__self_healing_cicd,Self-healing CI/CD for agent-written code,Software Creation & Developer Tools,"DevOps, SRE & incident response","Agents that keep pipelines green as AI-generated code volume explodes: auto-diagnose broken builds, quarantine flaky tests, fix pipeline config, and gate deploy",6.14,5,8,6,8,4,8,7,0.5,5,10,,"Agent-written code surged through 2025-26 (Claude Code/Codex fleets; 'teams of 1 human + N agents' per F1, Aug 2026), making pipeline throughput and eval-gated "
expert_data__trades_process_data,Skilled-trades process data capture and brokerage,"Data, Evals & AI Quality",Expert data & RLHF supply,"Capture tooling (helmet/van cameras, audio, job-ticket sync) plus consent and licensing infrastructure that turns HVAC/plumbing/electrical companies' real workf",6.14,3,9,7,6,7,7,9,0.4,1.0,30,Training-data trade,"As of Jul 2026 labs are paying six figures per trades company for undigitized workflow data (The Information), and YC's Fall 2026 RFS calls for 'Data for the Re"
support_cx__device_context_field_support,AI technical support with device context,"Sales, Marketing & Support",Support & customer experience,"AI agents that resolve technical support for equipment makers and field-service orgs by fusing manuals, service history, and live device telemetry/photos — guid",6.14,7,6,5,6,7,8,6,0.55,20,25,Voice crossed threshold,"Commodity human-grade voice (55ms latency, Tavus Sparrow-1 Jan 2026) plus frontier multimodal vision made phone-based guided repair with photo/telemetry context"
accounting_finance_ops__outcome_pricing_revrec,Rev-rec infrastructure for outcome-priced AI,"Finance, Legal & Compliance","Accounting, bookkeeping & finance ops","Metering, outcome-verification, and ASC 606 revenue-recognition tooling for companies selling agents on pay-per-resolution/outcome pricing — the billing-to-audi",6.14,1,9,8,7,6,9,9,0.45,0.1,15,,"Deloitte published accounting guidance for outcome-based agentic-AI pricing Jun 17 2026, and Salesforce/Oracle/BlackLine all moved to outcome pricing Jun-Jul 20"
tax_audit__irs_notice_resolution,AI IRS-notice and tax-controversy resolution,"Finance, Legal & Compliance",Tax & audit,"An agent that reads IRS/state notices, pulls transcripts, drafts responses, penalty-abatement requests, and installment-agreement filings, sold to accounting fi",6.14,5,7,7,7,5,8,7,0.45,6.0,25,,"The IRS lost thousands of staff amid unprecedented 2025-26 leadership churn (seven acting commissioners; ~90.5k employees in 2025 and shrinking), so notice back"
vertical_ops_other__legacy_thickclient_automation,Computer-use agents for legacy vertical desktops,Operations & Back-office Automation,Industry back-office (cross-cutting),"Per-completed-task automation of Windows thick-client and portal workflows in verticals stuck on legacy software (dental/vet PMS, county government, title/escro",6.14,6,7,7,6,5,8,7,0.4,15,25,Cheap computer use,"Reliable background/VM computer-use control (Cua-class tooling and frontier computer-use models) became practical within the last ~12 months (F1, 2025-26), maki"
aging_care__voice_monitoring_companion,Phone-native elder voice check-in and triage,Healthcare & Medicine,"Aging, home care & caregiving","Hardware-free daily voice calls to elders over an ordinary phone: companionship, med reminders, and passive triage (fall risk, UTI, cognitive drift, non-adheren",6.14,5,8,5,8,5,8,7,0.5,6,8,Voice crossed threshold; Aging demographics,"Real-time voice-model quality and cost crossed the threshold for natural elder-paced phone conversation in late 2025-2026, and YC's Fall 2026 RFS names voice in"
securing_ai__coding_agent_security,Enterprise coding-agent security & credential gateways,"Security, Fraud & Trust",Securing AI & agents,"Security layer for fleets of autonomous coding agents (Claude Code, Codex, Devin): scoped credential injection so agents never hold real secrets, sandbox egress",6.14,3,9,6,8,6,7,8,0.6,1.0,10,Software 10x cheaper; Inference price collapse,"2026 enterprise-scale coding-agent adoption (Claude Code, SWE-1.7, DeepSeek Harness) plus matured sandbox infra and the Mar 2026 Claude Code source leak made ag"
fraud_identity__agent_kyc_mandate_verification,KYC and mandate verification for AI agents,"Security, Fraud & Trust","Fraud, deepfakes & identity","Identity, credentialing, and mandate-chain verification for AI agents that open accounts and move money: issue scoped verifiable agent credentials tied to a KYC",6.14,2,9,7,6,7,9,9,0.5,0.5,25,MCP standardization; Agent payment rails,"Google AP2 was donated to the FIDO Alliance Apr 28, 2026, Mastercard Agent Pay went live in 10+ markets, and the MCP 2026-07-28 spec added CIMD auth — auditable"
robot_software__embodiment_adaptation_tooling,Embodiment onboarding kits for robot foundation models,Robotics & Physical AI,"Robot software, fleet ops & sim","Demo-capture rigs, dataset QA, and eval harnesses that get any new robot body onto Gemini Robotics 2 / pi-class foundation models in days — 'the fine-tuning too",6.14,2,9,8,6,6,9,9,0.45,0.4,40,Robotics foundation models,"Gemini Robotics 2 (Jul 30, 2026) adapts to a new embodiment with <200 demonstrations and ER 2 is publicly available in AI Studio — for the first time small team"
personal_agents__estate_settlement,Death and estate settlement agent,Consumer AI,Personal agents & AI-native tools,"Agent that runs the 12-18 month executor job after a death: probate filings, account closures, benefit claims, subscriptions, asset inventory and beneficiary pa",6.14,6,8,6,6,6,8,6,0.45,20,30,Cheap computer use; Aging demographics; Long-horizon agents,"Long-horizon supervised agent work (Cowork-class, Jan 2026) plus computer-use over government/bank portals matured in the last year, making a months-long paperw"
companionship_social__companion_safety_layer,Safety and age-assurance layer for AI companions,Consumer AI,Companionship & social,"Middleware selling minors detection/age assurance, crisis (self-harm) detection and escalation, dependency monitoring, and jurisdiction-specific compliance repo",6.14,3,9,8,7,6,7,7,0.5,0.8,15,EU AI Act enforcement,"Teen-death lawsuits forced Character.ai to ban under-18 chat from Nov 25, 2025, and 2025-26 state companion-chatbot laws (e.g. California) plus EU AI Act transp"
