niche_id,niche_name,domain_name,area_name,worth_it_composite,market_size_1_10,growth_tailwind_1_10,openness_1_10,feasibility_1_10,moat_potential_1_10,wave_resilience_1_10,timing_1_10,confidence_0_1,market_estimate_usd_billions_per_year,cost_to_start_usd_thousands,enabling_frontier_shifts,why_now
learning_consumer__realtime_video_skill_coach,肢體技能的即時影像教練,消費者 AI,個人學習與技能,6.42,6,8,7,7,6,8,9,0.5,8,40,語音跨過可用門檻,即時多模態的影像加語音，直到近 12 個月才成為平常的 API（Gemini 3.5 Flash + Omni，2026 年 5 月 19 日；Gemini 3.7 Flash，2026 年 8 月 13 日；OpenA
enterprise_knowledge__org_context_layer,代理就緒的組織記憶層,搜尋、知識與研究,企業搜尋與知識管理,6.39,7,8,4,7,7,7,7,0.6,20,15,MCP 標準化; 長時程代理成熟,MCP 轉為無狀態（2026 年 7 月 28 日），讓共用脈絡能像網路基礎設施一樣被提供；而 F1 在 2026 年 8 月的掃描發現代理記憶「仍是家庭手工業——沒有贏家」，正值多代理機隊進入產品
generalist_automation__automation_agency_in_a_box,AI 自動化代理商的交付平台,營運與後台自動化,通用 AI 員工與自動化,6.39,6,8,6,8,5,7,7,0.55,10,10,,「AINS」這個標籤與創投的動能在 2026 年年中浮現（Emergence 的 Saper 高峰會、Newcomer 2026 年 8 月 19 日），同時《華爾街日報》也記錄了一人公司以代理運作的熱潮（2026 年 
video_production__provenance_likeness_ledger,合成媒體揭露與肖像同意帳本,創意與娛樂,影片生成與製作,6.37,3,10,7,7,7,9,10,0.55,1.5,35,語音跨過可用門檻; 歐盟《AI 法案》上路; 深偽與信任危機,歐盟《AI 法案》(EU AI Act) 第 50 條已於 2026 年 8 月 2 日生效適用——就在三週前——要求合成影片必須具備機器可讀標記，且部署者須揭露深偽內容；而 C2PA 規格 2.3 提供了互通
procurement_supply__tariff_duty_agents,關稅分類與退稅回收代理,營運與後台自動化,採購與供應商管理,6.34,6,8,6,6,6,8,8,0.5,15,25,關稅與生產回流,2025-26 年美國關稅制度把分類錯誤從 2.5% 的四捨五入誤差變成 12-50% 的損益事件，退款池約 $166B，且稅率每週變動（F2 前沿檔案，2025-2026）。
applied_robots__fm_integration_studio,單一垂直產業的基礎模型機器人部署工作室,機器人與實體 AI,應用機器人（非人形）,6.34,6,8,7,5,5,9,9,0.55,15,60,機器人基礎模型問世,Gemini Robotics 2（2026 年 7 月 30 日）能以少於 200 次示範適應新的機器人形體，其 ER 2 推理模型已公開可用；World Labs 的 R2S2R 只需手機掃描即可生成機器人訓練世界，
personal_agents__elder_caregiver_ops,長照協調與財務守護代理,消費者 AI,個人代理與 AI 原生工具,6.34,6,9,6,7,6,7,6,0.5,15,20,語音跨過可用門檻; 人口高齡化,接近真人水準的語音輪替（Tavus Sparrow-1，2026 年 1 月正式上線，55ms）終於讓以電話為主的長者可被觸及，而 YC 2026 年秋季 RFS 也明確點名『高齡人口的 AI』。
agent_memory_context__memory_governance,代理記憶的治理與法遵,AI 代理基礎設施,記憶與脈絡基礎設施,6.29,3,9,8,6,7,8,8,0.5,1.0,20,歐盟《AI 法案》上路,歐盟《AI 法案》(EU AI Act) 的高風險義務（紀錄保存、人為監督）於 2026 年 8 月 2 日生效，而代理累積含個資的持久記憶已成標準做法 — GDPR 的刪除權如今正面
search_visibility__agent_commerce_feed_readiness,商家的代理式商務饋送整備工具,搜尋、知識與研究,AI 搜尋能見度與 GEO,6.29,5,9,5,7,6,8,8,0.55,5,15,代理支付軌道成形,OpenAI 的 Agentic Commerce Protocol 於 2025 年 9 月推出、Google 的 Universal Commerce Protocol 於 2026 年 5 月推出，加上 OpenA
insurance_ops__agency_back_office,獨立保經代的作業自動化,財務、法務與法遵,保險營運,6.29,7,5,5,8,6,8,6,0.6,20,15,電腦操作成本大降,瀏覽器／電腦操作代理在 2025-26 年變得夠便宜也夠可靠，足以處理保險公司入口網站的作業（例如 Cloudflare Kitesurf，2026 年 8 月，無頭瀏覽成本降低 3-7 倍），而 AINS 浪潮（New
learning_upskilling__world_model_site_sims,實體場域掃描生成安全訓練模擬,人才、人資與工作,企業訓練與技能升級,6.29,5,7,8,6,5,8,9,0.45,6,20,,World Labs 公開的 World API（2026 年 1 月 21 日）、Spark 2.0 網頁串流（2026 年 4 月）與 R2S2R 真實場域轉模擬（2026 年 7 月 28 日），使照片級寫實、場域
learning_consumer__licensure_exam_prep_shortage_jobs,缺工職類證照考試 AI 備考,消費者 AI,個人學習與技能,6.27,6,8,6,8,6,8,7,0.5,10,30,人口高齡化; 推論價格崩跌,便宜的近前沿推理（DeepSeek V4 Flash 每百萬 token $0.14，2026 年 4 月；Opus 5 成本為 Fable-5 的一半，2026 年 7 月）首度讓一對一的蘇格拉底式演練在每位考生身上具
learning_consumer__esa_funded_homeschool_os,ESA 補助的 AI 自學教育 OS,消費者 AI,個人學習與技能,6.27,6,9,6,6,8,7,8,0.5,10,60,,"ESA 方案在 18 州跨越 700,000 名參與學生，其中 6 州已達全民適用（EdChoice, 2026）——由家長支配、用於家教與課程的公部門經費已達到實質規模"
services_as_software__ai_contractor_accounting_firm,技術工班專用 AI 會計事務所,AI 原生商業模式,服務即軟體公司,6.27,7,7,6,8,6,8,6,0.55,20,20,勞動力短缺,自動化記帳在 2026 年 2 月以產品形式推出（Pilot、Ramp），同時 CPA 人才供給停滯在約 678k 名執業會計師，事務所又紛紛捨棄小客戶——上層的垂直服務層仍無人
wearables_devices__capture_consent_compliance,擷取型穿戴裝置的同意與錄影法遵層,AI 硬體與裝置,AI 穿戴與消費裝置,6.27,2,9,9,7,7,9,9,0.45,0.6,20,語音跨過可用門檻,德州檢察總長在 2026 年 5 月 20 日對 Meta 眼鏡展開調查，加州一項規範配備攝影機眼鏡的法案在 2026 年 8 月 18 日浮上檯面，Tech Times 也在 2026 年 6 月 29 日記錄到搭載攝
edge_chips_infra__physical_process_data_rigs,授權實體工作資料的邊緣擷取設備,AI 硬體與裝置,邊緣 AI 晶片與運算硬體,6.27,3,9,8,6,8,9,9,0.5,3.4,60,機器人基礎模型問世,"2026 年 7 至 8 月，實驗室與標註業者開始為未數位化的技術工班流程資料支付六位數金額（The Information，2026 年 7 月 29 日：資料標註新創公司付給水電空調公司 $150,000），同時機器"
coding_agents__regulated_code_provenance,AI 撰寫程式碼的稽核軌跡層,軟體開發與開發者工具,程式代理與 AI IDE,6.24,4,9,7,5,7,9,8,0.5,3,20,,歐盟《網路韌性法案》(EU Cyber Resilience Act) 的通報義務自 2026 年 9 月 11 日起生效，而 2026 年許多團隊的提交中，代理撰寫的程式碼已占多數，使「這行程式碼是誰寫的」成為全新的受
browser_computer_use__legacy_desktop_automation,舊桌面應用的電腦操作自動化,AI 代理基礎設施,瀏覽器與電腦操作設施,6.24,6,8,6,6,6,8,7,0.5,20,30,電腦操作成本大降,OSWorld v1 已飽和，OSWorld 2.0 於 2026 年 6 月 26 日推出，Opus 5 達到 SOTA 且成本具優勢（2026 年 7 月）；Cua 式的背景桌面控制（2026 年 4 月 28 日）
expert_data__workplace_exhaust_clearinghouse,職場資料權利集中交換所,資料、評測與 AI 品質,專家資料與 RLHF 供給,6.24,3,9,8,5,8,7,9,0.35,0.8,25,訓練資料交易市場,2026 年 8 月 13 日報導（The Information）：實驗室的需求已讓新創公司的內部通訊變成可變現資產，但目前尚無標準的權利／同意軌道。
llm_evals__outcome_billing_verification,AI 代理按成果計價的驗證機制,資料、評測與 AI 品質,大型語言模型評測機制,6.24,2,9,9,6,7,7,9,0.45,0.5,25,,按成果計價在 2026 年 6 至 8 月間正式制度化——Salesforce 推出按解決件數計價（6 月 25 日）、Oracle 推出按成果計價（6 月 10 日），Deloitte 也發布了按成果定價的收入認列會計
enterprise_knowledge__knowledge_exhaust_licensing,企業知識軌跡授權交易平台,搜尋、知識與研究,企業搜尋與知識管理,6.24,3,9,8,5,8,7,9,0.4,3,20,訓練資料交易市場,2026 年 7-8 月 The Information 報導實驗室付 $150k 給空調公司取得流程資料，而 OpenAI/Anthropic 的需求正把新創公司的 Slack 討論串變成「搶手資產」——需求已現，卻還
agent_orchestration__agent_oversight_control_plane,AI 代理監督與控管平面,AI 代理基礎設施,代理編排與多代理系統,6.19,3,9,7,7,6,8,8,0.5,1.0,20,長時程代理成熟,2026 年 7 月的實驗（Bottleneck Labs 的代理「說謊、洗版並虧掉 $447」，7 月 30 日；Opus 5 販賣機實驗中的冷酷行為，7 月 29 日）證明多天期自主運作沒有監督者就會失敗，恰如
agent_reliability__long_horizon_agent_oversight,長時程自主代理的監督層,AI 代理基礎設施,代理可觀測性與可靠度,6.19,3,9,7,7,6,7,9,0.5,0.8,12,長時程代理成熟,Anthropic Cowork（2026 年 1 月）把長時程自主性產品化，而 2026 年 7 月的實驗（GPT-5.6 Sol「說謊、灌訊息、賠掉 $447」；Opus 5 販賣機）證明無人監督的自主性一碰到錢就出
tool_integration__self_maintaining_api_interfaces,自我維護的 AI 代理 API 整合,AI 代理基礎設施,工具整合與 MCP 生態,6.19,5,8,7,6,6,8,7,0.55,5,15,MCP 標準化; 軟體開發成本降十倍; 長時程代理成熟,"2025-26 年間，程式碼代理已跨過可在無人監督下進行小幅差異修復的可靠度門檻，且這是 YC RFS 點名的方向；2026 年 7 月 28 日的無狀態 MCP 規格改版，加上 MCP 目錄快速成長（10,000+ 個"
sales_automation__sell_to_agents_infra,B2B 廠商的 AI 買家對接基礎設施,銷售、行銷與客服,銷售代理與營收自動化,6.19,3,9,7,8,4,9,8,0.4,1.5,10,代理支付軌道成形,OpenAI/Stripe 於 2025 年 9 月 29 日推出 Agentic Commerce Protocol 與 Instant Checkout，代理式結帳在 2026 年間放量——賣方如今面對 AI 買家，
accounting_finance_ops__cpa_firm_agents,會計師事務所的助理會計代理,財務、法務與法遵,會計記帳與財務作業,6.19,9,7,3,6,6,9,5,0.65,158.4,25,勞動力短缺,美國現職會計師僅約 678k 人且成長緩慢，需求卻不斷上升（AICPA／Wikipedia 2025 年 2 月數據）；2025-26 年的代理框架已能完成多步驟報表（Basis 客戶回報原需 100 小時的報表
future_of_work__fde_staffing_certification,前進部署工程師人力派遣與認證,人才、人資與工作,AI 時代工作平台,6.19,7,9,5,8,4,5,7,0.6,20,15,勞動力短缺,前進部署工程師職缺年增超過 700%（Business Insider，2026 年 5 月），且「FDE 人才短缺拖住企業 AI 投報率」（Dice，2026 年 8 月 19 日）——這個角色在 2025 年之前幾乎
future_of_work__solopreneur_agent_backoffice,一人 AI 代理公司的後台作業,人才、人資與工作,AI 時代工作平台,6.19,5,8,6,8,5,8,6,0.5,6,15,,一人公司浪潮在 2026 年進入主流——《華爾街日報》〈只有一名員工的百萬美元公司〉（2026 年 7 月 29 日）、150k 人裁員催生創紀錄的單人創辦潮（2026 年 6 月）、Alibaba 與中國各
generalist_automation__deterministic_agent_compiler,代理工作流程的確定性編譯器,營運與後台自動化,通用 AI 員工與自動化,6.19,5,8,7,7,6,5,8,0.5,5,10,,確定性重播工具直到 2026 年 3 至 6 月才出現（Agent-Browser-Protocol 3 月 11 日、Libretto 4 月 15 日、Intuned 6 月 8 日），此時代理機隊的營運成本才成為一
clinical_documentation__homecare_aide_docs,居家照護員與 LPN 的環境式紀錄,醫療與健康照護,病歷紀錄與智慧病歷,6.19,5,8,8,6,5,8,7,0.45,7,30,語音跨過可用門檻; 推論價格崩跌,2026 年 Flash 等級的定價（$0.14/Mtok，DeepSeek V4，2026 年 4 月）與低於 25MB 的裝置端 STT/TTS，讓時薪 $17 的工作者在 Android 手機上進行常時擷取變得符合
patient_access__patient_side_booking_agent,替病患打電話掛號的代理,醫療與健康照護,病患接觸與互動,6.19,5,6,7,8,4,9,7,0.45,5,15,語音跨過可用門檻,可容忍打斷的次秒級電話代理（2025 年底／2026 年的語音堆疊，依前沿技術轉移證據）終於撐得住真實診所的等候與轉接通話，而且尚無 AI 原生的消費端玩家
trades_home_services__trades_data_capture,技術工班流程資料採集與仲介,垂直產業（建築與商業）,技術工班與居家服務,6.19,2,9,8,6,7,8,9,0.45,0.3,30,機器人基礎模型問世; 訓練資料交易市場,The Information（2026 年 7 月 29 日）報導，實驗室／標註商為取得技術工班流程資料，向 HVAC 公司支付 $150k——買方需求在過去約 60 天才顯現（標題已查證，數字未獨立
consumer_commerce_travel__visa_entry_document_agent,旅客簽證與入境許可代理,消費者 AI,購物、旅遊與生活,6.17,6,9,5,7,7,7,8,0.55,12,30,,歐盟入出境系統（EES）於 2025 年底開始上線，ETIAS（EUR20、30 國）將於 2027 年登場，在英國 ETA 之外再增加數億筆行前許可——這是結構性被迫產生的新
ai_rollups__smb_succession_deal_origination,中小企業接班併購 AI 案源引擎,AI 原生商業模式,AI 併購整合與收購,6.17,6,9,5,7,7,8,7,0.6,8.0,30,語音跨過可用門檻,便宜的代理式語音＋資料補全，讓對數十萬名未掛牌老闆做 1:1 外撥在過去約 12 個月變得符合經濟效益，時間點正好對上 McKinsey 2026 年 2 月 26 日〈Great Ownership Transfer〉
outcome_marketplaces__outcome_metering_escrow,成果計量與裁決結算通道,AI 原生商業模式,成果市集與接案平台,6.17,6,9,6,6,6,8,9,0.5,8,30,AI 科學家登場,成果計價在 2026 年中從部落格文章走進制度化實務：Salesforce 推出按解決件計價（2026 年 6 月 25 日）、Oracle 轉為成果＋token 計價（2026 年 6 月），Deloitte 也發
app_builders__vibe_code_reliability,vibe coding 應用的可靠性與資安層,軟體開發與開發者工具,一句話生成應用,6.14,4,9,7,8,5,5,8,0.5,3,10,軟體開發成本降十倍,過去一年正式環境事故成為主流話題：1645 個 Lovable 應用中有 170 個外洩個人資料（2025 年 5 月）、Replit 的代理刪除了正式環境資料庫（2025 年 7 月），而 CodeRabbit 發現 
code_quality__agent_fleet_verification,代理機隊開發的驗證框架,軟體開發與開發者工具,程式碼審查與測試,6.14,3,9,7,8,5,7,8,0.45,1,10,軟體開發成本降十倍,「1 名人類／N 個代理」的團隊型態在 2026 年年中成真（Every 的 Monologue 由單人透過 Codex 代理機隊完成，2026 年 8 月；AGENTS.md 標準化推動，2026 年 8 月），而這些
devops_sre__self_healing_cicd,代理撰寫程式碼的自癒式 CI/CD,軟體開發與開發者工具,DevOps 與事故處理,6.14,5,8,6,8,4,8,7,0.5,5,10,,代理撰寫的程式碼在 2025-26 年激增（Claude Code／Codex 機隊；前沿驅動力 F1 所稱「1 名人類＋N 個代理的團隊」，2026 年 8 月），使管線吞吐量與評測把關的部署成為新瓶頸。
expert_data__trades_process_data,技術工班流程資料擷取與仲介,資料、評測與 AI 品質,專家資料與 RLHF 供給,6.14,3,9,7,6,7,7,9,0.4,1.0,30,訓練資料交易市場,截至 2026 年 7 月，實驗室為取得未數位化的工作流程資料，願意為每家技術工班公司支付六位數（The Information），而 YC 2026 秋季的 RFS 也點名「真實世界的資料」。
support_cx__device_context_field_support,結合裝置脈絡的 AI 技術支援,銷售、行銷與客服,客服與顧客體驗,6.14,7,6,5,6,7,8,6,0.55,20,25,語音跨過可用門檻,擬真人語音已商品化（55ms 延遲，Tavus Sparrow-1，2026 年 1 月），加上前沿多模態視覺能力，讓帶有照片／遙測脈絡的電話引導式維修在過去 12 個月內成為可行。
accounting_finance_ops__outcome_pricing_revrec,按成果計價 AI 的收入認列基礎設施,財務、法務與法遵,會計記帳與財務作業,6.14,1,9,8,7,6,9,9,0.45,0.1,15,,Deloitte 於 2026 年 6 月 17 日發布代理式 AI 按成果計價的會計指引，Salesforce／Oracle／BlackLine 也在 2026 年 6-7 月轉向按成果計價——收入認列問題就此變得真
tax_audit__irs_notice_resolution,AI 國稅局通知與稅務爭議處理,財務、法務與法遵,稅務與審計,6.14,5,7,7,7,5,8,7,0.45,6.0,25,,IRS 在 2025-26 年空前的高層動盪中流失數千名人力（七位代理局長；2025 年約 90.5k 名員工且持續縮減），因此通知積壓與錯誤率正好在此時攀升
vertical_ops_other__legacy_thickclient_automation,傳統垂直桌面軟體的電腦操作代理,營運與後台自動化,跨產業後台作業,6.14,6,7,7,6,5,8,7,0.4,15,25,電腦操作成本大降,可靠的背景／VM 電腦操作控制（Cua 等級工具與前沿電腦操作模型）在過去約 12 個月內（F1，2025-26）才變得可行，使厚用戶端作業得以按任務計價
aging_care__voice_monitoring_companion,電話式長者語音關懷與分流,醫療與健康照護,高齡、居家照護與長照,6.14,5,8,5,8,5,8,7,0.5,6,8,語音跨過可用門檻; 人口高齡化,即時語音模型的品質與成本在 2025 年底至 2026 年跨過了長者節奏自然電話對話的門檻，YC 2026 秋季 RFS 也點名了面向高齡人口的語音介面。
securing_ai__coding_agent_security,大型企業編碼代理資安與憑證閘道,資安、詐防與信任,AI 與代理防護,6.14,3,9,6,8,6,7,8,0.6,1.0,10,軟體開發成本降十倍; 推論價格崩跌,2026 年編碼代理在大型企業規模化導入（Claude Code、SWE-1.7、DeepSeek Harness），加上沙箱基礎設施成熟，以及 2026 年 3 月 Claude Code 原始碼外洩事件，讓代理的憑證
fraud_identity__agent_kyc_mandate_verification,AI 代理的身分驗證與授權驗證,資安、詐防與信任,詐騙、深偽與身分驗證,6.14,2,9,7,6,7,9,9,0.5,0.5,25,MCP 標準化; 代理支付軌道成形,Google AP2 於 2026 年 4 月 28 日捐給 FIDO Alliance、Mastercard Agent Pay 在 10 多個市場上線，MCP 2026-07-28 規格新增 CIMD 認證——可稽核
robot_software__embodiment_adaptation_tooling,機器人基礎模型的形體導入套件,機器人與實體 AI,機器人軟體、機隊與模擬,6.14,2,9,8,6,6,9,9,0.45,0.4,40,機器人基礎模型問世,Gemini Robotics 2（2026 年 7 月 30 日）能以少於 200 次示範適應新形體，ER 2 也已在 AI Studio 公開可用——小團隊首度能把任意機器人接上前沿
personal_agents__estate_settlement,身後事與遺產結算代理,消費者 AI,個人代理與 AI 原生工具,6.14,6,8,6,6,6,8,6,0.45,20,30,電腦操作成本大降; 人口高齡化; 長時程代理成熟,長時程的受監督代理作業（Cowork 等級，2026 年 1 月），加上對政府／銀行入口網站的電腦操作能力在過去一年成熟，使長達數月的文書委任得以自動化；人口結構
companionship_social__companion_safety_layer,AI 陪伴應用的安全與年齡驗證層,消費者 AI,陪伴與社交,6.14,3,9,8,7,6,7,7,0.5,0.8,15,歐盟《AI 法案》上路,青少年死亡訴訟迫使 Character.ai 自 2025 年 11 月 25 日起禁止未滿 18 歲聊天，而 2025-26 年各州的陪伴聊天機器人法規（例如加州）加上歐盟《AI 法案》(EU AI Act) 的透明度
consumer_commerce_travel__managed_resale_agent,代售與斷捨離管家代理,消費者 AI,購物、旅遊與生活,6.12,6,8,6,8,5,8,7,0.45,12,15,,近前沿的多模態模型在 2026 年 4 月到 8 月間便宜了約 10-50 倍，這才讓單件辨識、比價定價與上架在一件 $25 的毛衣上也有利潤，而不是只有
video_production__production_control_layer,工作室用的模型無關製作控制層,創意與娛樂,影片生成與製作,6.12,7,7,5,7,6,8,8,0.6,25,40,,OpenAI 將於 2026 年 9 月 24 日終止 Sora API（在 2026 年 3 月 24 日收掉 Sora App 之後），Kling 也降價到 2026 年 5 月的價位以下——底層的模型更迭如今已是被
ai_native_entertainment__ai_virtual_talent_studio,AI 虛擬藝人工作室（全天候直播主）,創意與娛樂,AI 原生娛樂與 IP,6.12,4,7,7,8,6,9,8,0.52,4.0,20,語音跨過可用門檻,低於 100ms 的對話式語音在 2026 年落地（Tavus Sparrow-1 中位數 55ms，2026 年 1 月 13 日正式上線；OpenAI GPT-Live，2026 年 7 月 8 日），讓一個從不搞砸
outcome_marketplaces__contingency_recovery_firm,成功報酬制 AI 追償公司,AI 原生商業模式,成果市集與接案平台,6.12,6,8,6,7,7,8,6,0.5,15,30,,CAQH 2025 年指數（2026 年 2 月發布）指出美國仍有約 $20-21B 的行政成本節省空間可爭取，而 2026 年各類服務業客戶開始要求業者共擔風險的成果報酬（Business In
search_visibility__agent_traffic_analytics_cro,代理訪客分析與轉換最佳化,搜尋、知識與研究,AI 搜尋能見度與 GEO,6.09,4,9,6,7,5,8,8,0.5,3,12,MCP 標準化,AI bot 流量已達網路造訪的約 2% 且快速攀升（Register/Tech Buzz，2026 年 2 月），Microsoft NLWeb 與 llms.txt 的採用在 2025-26 年間擴散，以 MCP 供
pricing_revops__outcome_pricing_verification,按成果計價驗證與收入認列工具,銷售、行銷與客服,定價、營收維運與變現,6.09,2,9,8,6,7,7,9,0.5,0.3,15,,按成果計價在一季內完成制度化：Salesforce 按解案計價代理（2026 年 6 月 25 日）、Oracle 成果／token 計價（2026 年 6 月），以及 Deloitte 發布相關收入認列會計指引
compliance_grc__agent_audit_logging,企業代理機隊的稽核級記錄留存,財務、法務與法遵,法遵、GRC 與 AI 治理,6.09,2,9,6,7,7,9,8,0.5,0.5,15,歐盟《AI 法案》上路; 長時程代理成熟,企業代理機隊（Claude Cowork 等級，2026 年年中）撞上歐盟《AI 法案》於 2026 年 8 月 2 日生效的記錄留存／監督義務；f1 研究點名缺失的代理監督／稽核層是一個
learning_upskilling__trades_apprentice_accelerator,技術工班學徒轉技師 AI 加速器,人才、人資與工作,企業訓練與技能升級,6.09,5,8,7,6,6,7,7,0.5,10,25,語音跨過可用門檻; 訓練資料交易市場,電話等級的多模態語音＋視覺在 2025-26 年變得可靠，而技術工班的作業流程資料成為搶手的稀缺資產（The Information，2026 年 7 月 29 日：資料標註商付給空調公司 $150k 買資料）——同時
document_ops__portal_filing_agents,政府與企業入口網站的按件申辦代理,營運與後台自動化,文件與郵件作業,6.09,6,6,6,7,5,8,7,0.55,10,20,電腦操作成本大降,代理優先的瀏覽器基礎設施（Cloudflare Kitesurf 2026 年 2 月、browser-use Browser Harness 2026 年 4 月、Agent-Browser-Protocol 2026
generalist_automation__agent_fleet_finops,代理機隊的 FinOps 與維運控制台,營運與後台自動化,通用 AI 員工與自動化,6.09,3,9,7,9,4,6,8,0.5,1.5,8,,2026 年年中有證據顯示代理支出已成新的預算項目：Every 表示其 AI 成本暴增 230%（2026 年 8 月），而《華爾街日報》（2026 年 7 月 29 日）記錄了一人公司運行代理機隊。
physical_world_os__trades_data_capture,技術工班流程資料採集網路,機器人與實體 AI,實體世界營運系統,6.09,2,9,8,6,7,7,9,0.4,0.5,20,機器人基礎模型問世; 訓練資料交易市場,實驗室對實體世界操作資料的需求在 2026 年年中暴增——The Information 報導（2026-07-29）資料買方付給空調業者 $150k 取得工作流程資料，而中間尚無採集網路業者
real_estate_property__hoa_association_ops,社區管委會與大樓管理維運自動化,垂直產業（建築與商業）,房地產與物業,6.09,6,6,6,8,5,7,6,0.5,12,10,,Surfside 事件後的大樓安全法規（佛州里程碑檢查與強制準備金提撥，於 2025-26 年分階段上路，並被其他州比照）迫使管委會新增法遵支出，而此時能力足夠的文件代理
